source	time	person	location	organization	miscellaneous
thenews	2016-08-05T00:00:00	Muhammad Ali|Alis|Amir Khan|boxingmad fatherAnd	Athens|Britain|boxingAli	Ali Britains|Rio de Janeiro Rio Olympic	famous|fatherand|alis|amir|athens|bestowed|boxer|boxing|boxingali|boxingmad
thenews	2016-08-05T00:00:00	Andy Murray|Murray|Elizabeth		Rio de Janeiro|Olympic	admitted|didnt|defending|careerbut|andy|anne|annes|betteri|big|botched
thenews	2016-08-06T00:00:00	Adam Peaty	London	sec|SaturdayPeaty|Rio de Janeiro|Rio Olympic	campaign|clocking|britains|breaststroke|bang|april|adam
thenews	2016-08-06T00:00:00	Alastair Cook|Legspinner Yasir Shah|midonBairstow|Cook|Moeen Moeen Ali|Alex Hales|Bairstow|Asad Shafiq|Hales|Shah|Mohammad Hafeez|Younis Khan|Hafeez|Ali|James Vince|Sohail Khan|Sohail|Gary Ballance|Rahat Ali|Amir|Ali coverdrove Shah|Moeen Ali|Rahat|Jonny Bairstow	South Africas|Edgbaston|BIRMINGHAM|Yorkshire|leftarm|Englands|leftarm paceman|Birmingham|England|dayPakistan|Pakistan	Testbest|Testmatch|Old Trafford|YounisEngland	batsmenlefthander|final|fine|asad|dismiss|balls|england|ball|erased|briskly
thenews	2016-08-06T00:00:00	Lindolfo Delgado|Carmine Tommasone|Delgado|toI	Rio |Mexicos	RioTommasone|Rio de Janeiro|Tommasone	harsh|final|begrudging|competition|hitting|clumping|awarded|bamboozle|bout|boxing
thenews	2016-08-06T00:00:00	Robert Mugabes|Mugabe|Tom Latham|Williamson|Latham|Donald Tiripano|Kane WilliamsonLatham|Martin Guptill|Sean Williams	Queens|New Zealands|Zimbabwe|New Zealand	Queens Sports Club|BULAWAYO Opener|Guptill|leftarm spinner|ThisFlag	claimed|action|endured|end|drew|donald|batsmen|add|bowlers|citizen
thenews	2016-08-06T00:00:00	Alex Hales|Joe Root|Sohail|Mohammad Hafeez|Vince|Gary Ballance|Rahat Ali|James Vince Roots|Hafeez|Younis|Amir|Yasir Shah|Rahat|Hales|Jonny Bairstow|Sohail Khan|Younis Khan	BIRMINGHAM|Yorkshire|Edgbaston|Englands|leftarm|Hampshire|England|Pakistan	frontAlastair|Old Trafford|ballsLefthander Cook|Testbest|Testmatch|ShahSohail	birmingham|batsmen|fashion|best|edged|breakthroughroot|countered|ballslefthander|amir|careerbut
thenews	2016-08-06T00:00:00	Mugabe|Mandla Dungeni|Robert MugabeCircumventing|Evan Mawarire|Mugabes|downDespite	Bulawayo|timeThree|Zimbabwe|New Zealand	BULAWAYO Hundreds|FacebookPolice|Women of Zimbabwe Arise WOZA|Rose|ThisFlag	concerned|economy|cash|group|ground|businesses|capital|began|complete|downdespite
thenews	2016-08-06T00:00:00	Kane Williamson|SaturdayLatham|Robert Mugabes|Tom Latham|Hamilton Masakadza|Peter Moor|Tino Mawoyo|Latham|John Nyumbu|Donald Tiripano|Martin Guptill|Tim Southee	Zealand|Bulawayo|BULAWAYO|New Zealand|Queens|Zimbabwe	Guptills|inRegis Chakabva Brian Chari|ThisFlag	drama|changes|fans|chari|earned|finally|brought|chakabva|century|caps
thenews	2016-08-06T00:00:00	Mickey Arthur|Sohail|Mohammad Hafeez|Rahat Ali|Alastair Cook|Yasir Shah|Sohail Khan|Mohammad Amir|James Vince|Alex HalesRoot|Rahat|Hales|BIRMINGHAM Joe Root|Younis Khan	Edgbaston|Hampshire|Englands|leftarm|SaturdayAt|England|Pakistan	matchIt|Old Trafford|ballsLefthander Cook|Testbest|Testmatch	best|enabled|edged|effort|boundaries|coach|diving|batsman|bowled|blemish
thenews	2016-08-06T00:00:00	Alex Hales|Michael Vaughan|Alastair Cook|Alexis Fuller|nowFuller|Hales|Fuller	England|bowledI|Edgbaston|Pakistan	playUpset|BIRMINGHAM England	birmingham|captain|bowledi|england|appeared|daythe|fifth|bat|close|bowl
